ID.	Nombre	Depart.	Tiempo	ID del dispositivo	
264	alejo pb	Not Set1	 2026-09-01     11:20:12	1
265	JAVI G	Not Set1	 2026-09-01     11:24:05	1
267	MARIO V	Not Set1	 2026-09-01     11:28:44	1
268	Sofia Morales	Sistemas	 2026-09-01     11:15:30	1
269	Carlos Ruiz	Mecatronica	 2026-09-01     11:22:10	1
270	Valentina Gomez	Sistemas	 2026-09-01     11:26:50	1
271	Andres Felipe	Diseno	 2026-09-01     11:32:15	1
264	alejo pb	Not Set1	 2026-09-02     11:27:44	1
265	JAVI G	Not Set1	 2026-09-02     11:27:53	1
267	MARIO V	Not Set1	 2026-09-02     11:29:24	1
268	Sofia Morales	Sistemas	 2026-09-02     11:18:22	1
269	Carlos Ruiz	Mecatronica	 2026-09-02     11:21:40	1
270	Valentina Gomez	Sistemas	 2026-09-02     11:25:05	1
272	Camila Torres	Diseno	 2026-09-02     11:30:10	1
264	alejo pb	Not Set1	 2026-09-03     11:21:30	1
265	JAVI G	Not Set1	 2026-09-03     11:26:15	1
267	MARIO V	Not Set1	 2026-09-03     11:30:05	1
268	Sofia Morales	Sistemas	 2026-09-03     11:19:12	1
271	Andres Felipe	Diseno	 2026-09-03     11:24:55	1
272	Camila Torres	Diseno	 2026-09-03     11:28:40	1
264	alejo pb	Not Set1	 2026-09-04     11:25:40	1
265	JAVI G	Not Set1	 2026-09-04     11:28:10	1
267	MARIO V	Not Set1	 2026-09-04     11:31:25	1
268	Sofia Morales	Sistemas	 2026-09-04     11:16:04	1
269	Carlos Ruiz	Mecatronica	 2026-09-04     11:23:18	1
270	Valentina Gomez	Sistemas	 2026-09-04     11:27:30	1
271	Andres Felipe	Diseno	 2026-09-04     11:33:02	1
272	Camila Torres	Diseno	 2026-09-04     11:29:50	1
